bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,bfq,2123291,39,2123330,2073,0,2073,55,90
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,2238622,39,2238661,2186,0,2186,33,80
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,none,2244753,39,2244792,2192,0,2192,32,118
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,bfq,2239584,39,2239623,2187,0,2187,37,138
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,2225976,39,2226015,2173,0,2173,36,130
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,none,2250022,39,2250061,2197,0,2197,33,101
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,bfq,2222285,39,2222324,2170,0,2170,36,153
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,2244256,39,2244295,2191,0,2191,34,126
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,none,7920136,39,7920175,7734,0,7734,37,208
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,bfq,7899068,39,7899107,7713,0,7713,37,169
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,7887741,39,7887780,7702,0,7702,35,132
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,none,7920544,39,7920583,7734,0,7734,34,116
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,bfq,7896060,39,7896099,7710,0,7711,37,123
