bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,none,12222126,39,12222165,11935,0,11935,508,684
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,bfq,11609610,39,11609649,11337,0,11337,501,684
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,11417101,39,11417140,11149,0,11149,235,334
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,none,12119256,39,12119295,11835,0,11835,516,684
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,bfq,11819311,39,11819350,11542,0,11542,493,610
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,11815215,39,11815254,11538,0,11538,259,326
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,none,12160622,39,12160661,11875,0,11875,525,659
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,bfq,11758217,39,11758256,11482,0,11482,510,643
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,11428784,39,11428823,11160,0,11160,227,338
