配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
4,2,256K,duet_dual,duet_dual(4194304/2097152),2,10.168GB/s,178.90,271,2025年 08月 08日 星期五 14:11:57 CST
4,2,256K,duet_dual,duet_dual(4194304/1048576),2,10.199GB/s,137.72,273,2025年 08月 08日 星期五 14:12:38 CST
4,2,256K,none,none,3,10.737GB/s,191.06,271,2025年 08月 08日 星期五 14:13:25 CST
4,2,256K,bfq,bfq,3,10.179GB/s,180.51,271,2025年 08月 08日 星期五 14:14:07 CST
4,2,256K,duet_same,duet_same(16777216),3,10.221GB/s,175.01,271,2025年 08月 08日 星期五 14:14:48 CST
4,2,256K,duet_same,duet_same(8388608),3,10.176GB/s,180.05,271,2025年 08月 08日 星期五 14:15:30 CST
4,2,256K,duet_same,duet_same(4194304),3,10.215GB/s,176.58,271,2025年 08月 08日 星期五 14:16:12 CST
4,2,256K,duet_same,duet_same(2097152),3,10.214GB/s,170.02,271,2025年 08月 08日 星期五 14:16:53 CST
4,2,256K,duet_same,duet_same(1048576),3,6.904GB/s,133.46,273,2025年 08月 08日 星期五 14:17:35 CST
4,2,256K,duet_dual,duet_dual(4194304/3145728),3,10.201GB/s,178.14,271,2025年 08月 08日 星期五 14:18:17 CST
4,2,256K,duet_dual,duet_dual(4194304/2097152),3,10.349GB/s,180.76,271,2025年 08月 08日 星期五 14:18:58 CST
4,2,256K,duet_dual,duet_dual(4194304/1048576),3,10.203GB/s,134.92,273,2025年 08月 08日 星期五 14:19:40 CST
5,2,1M,none,none,1,12.025GB/s,621.79,271,2025年 08月 08日 星期五 14:20:32 CST
5,2,1M,bfq,bfq,1,11.596GB/s,581.39,271,2025年 08月 08日 星期五 14:21:13 CST
5,2,1M,duet_same,duet_same(16777216),1,11.596GB/s,580.44,271,2025年 08月 08日 星期五 14:21:55 CST
5,2,1M,duet_same,duet_same(8388608),1,11.811GB/s,576.23,271,2025年 08月 08日 星期五 14:22:37 CST
5,2,1M,duet_same,duet_same(4194304),1,11.274GB/s,306.71,271,2025年 08月 08日 星期五 14:23:18 CST
5,2,1M,duet_same,duet_same(2097152),1,9.939GB/s,212.83,271,2025年 08月 08日 星期五 14:24:00 CST
5,2,1M,duet_same,duet_same(1048576),1,8.482GB/s,149.91,272,2025年 08月 08日 星期五 14:24:42 CST
5,2,1M,duet_dual,duet_dual(4194304/3145728),1,11.381GB/s,239.25,271,2025年 08月 08日 星期五 14:25:23 CST
5,2,1M,duet_dual,duet_dual(4194304/2097152),1,11.489GB/s,198.38,271,2025年 08月 08日 星期五 14:26:05 CST
5,2,1M,duet_dual,duet_dual(4194304/1048576),1,11.596GB/s,152.20,273,2025年 08月 08日 星期五 14:26:47 CST
5,2,1M,none,none,2,12.133GB/s,620.29,271,2025年 08月 08日 星期五 14:27:33 CST
