测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-16k_iodepth-64_count-1_iter-2,总带宽(KB/s),8698409,总带宽(MB/s),8494,平均单流带宽(KB/s),8698409,平均单流带宽(MB/s),8494
bgonly_rw-read_bs-16k_iodepth-64_count-1_iter-3,总带宽(KB/s),8679060,总带宽(MB/s),8475,平均单流带宽(KB/s),8679060,平均单流带宽(MB/s),8475
bgonly_rw-read_bs-16k_iodepth-64_count-8_iter-1,总带宽(KB/s),4401952,总带宽(MB/s),4298,平均单流带宽(KB/s),550244,平均单流带宽(MB/s),537
bgonly_rw-read_bs-16k_iodepth-64_count-8_iter-2,总带宽(KB/s),4377888,总带宽(MB/s),4275,平均单流带宽(KB/s),547236,平均单流带宽(MB/s),534
bgonly_rw-read_bs-16k_iodepth-64_count-8_iter-3,总带宽(KB/s),4466701,总带宽(MB/s),4362,平均单流带宽(KB/s),558337,平均单流带宽(MB/s),545
bgonly_rw-read_bs-16k_iodepth-256_count-1_iter-1,总带宽(KB/s),8679281,总带宽(MB/s),8475,平均单流带宽(KB/s),8679281,平均单流带宽(MB/s),8475
bgonly_rw-read_bs-16k_iodepth-256_count-1_iter-2,总带宽(KB/s),8687776,总带宽(MB/s),8484,平均单流带宽(KB/s),8687776,平均单流带宽(MB/s),8484
bgonly_rw-read_bs-16k_iodepth-256_count-1_iter-3,总带宽(KB/s),8682016,总带宽(MB/s),8478,平均单流带宽(KB/s),8682016,平均单流带宽(MB/s),8478
bgonly_rw-read_bs-16k_iodepth-256_count-8_iter-1,总带宽(KB/s),4356792,总带宽(MB/s),4254,平均单流带宽(KB/s),544599,平均单流带宽(MB/s),531
bgonly_rw-read_bs-16k_iodepth-256_count-8_iter-2,总带宽(KB/s),4330159,总带宽(MB/s),4228,平均单流带宽(KB/s),541269,平均单流带宽(MB/s),528
