phase	t_rel_s	n_reps	fio_mean_MB_s	mal_mean_MB_s	mal_is_sparse_avg
G1_no_mechanism	27.0	3	7908.90777712645	5045.398186667103	False
G1_no_mechanism	27.2	3	8071.861196896574	4253.72330666469	False
G1_no_mechanism	27.4	3	6934.3206845973355	5966.397440001135	False
G1_no_mechanism	27.6	3	7197.760777108816	5938.435413330116	False
G1_no_mechanism	27.8	3	6828.875308551297	5969.892693338763	False
G1_no_mechanism	28.0	3	6626.437458258645	5943.678293334041	False
G1_no_mechanism	28.2	3	7384.793411864113	5064.622079997442	False
G1_no_mechanism	28.4	3	7640.9953833694935	5789.887146667251	False
G1_no_mechanism	28.6	3	7257.697237703346	5884.258986662731	False
G1_no_mechanism	28.8	3	8292.43159660733	3364.181333336393	False
G1_no_mechanism	29.0	3	8858.716441353406	4900.345173333538	False
G1_no_mechanism	29.2	3	7315.434791124827	5485.800106663172	False
G1_no_mechanism	29.4	3	7337.701704812272	5672.796160000406	False
G1_no_mechanism	29.6	3	7086.319615617736	6350.875306662766	False
G1_no_mechanism	29.8	3	6853.557472880399	5990.864213338781	False
G1_no_mechanism	30.0	3	6934.931534667493	5887.754240000646	False
G1_no_mechanism	30.2	3	7942.637774653617	5052.388693329128	False
G1_no_mechanism	30.4	3	8715.312139267282	4211.780266666149	False
G1_no_mechanism	30.6	3	8016.787569383082	4148.865706665624	False
G1_no_mechanism	30.8	3	7171.19638917021	6085.236053338867	False
G1_no_mechanism	31.0	3	7514.932314100548	5258.608639999995	False
G1_no_mechanism	31.2	3	7904.418746497737	5015.688533331216	False
G1_no_mechanism	31.4	3	7033.7353667808775	5543.471786667166	False
G1_no_mechanism	31.6	3	7841.037353585918	5311.037439997089	False
G1_no_mechanism	31.8	3	7641.1646959127	5597.648213338424	False
G1_no_mechanism	32.0	3	8184.482287331123	4117.408426666064	False
G1_no_mechanism	32.2	3	7348.2485642743195	5543.471786663384	False
G1_no_mechanism	32.4	3	6771.972930259831	6202.327040000749	False
G1_no_mechanism	32.6	3	6852.876112705447	6011.835733329896	False
G1_no_mechanism	32.8	3	7577.391725187532	5351.2328533382	False
G1_no_mechanism	33.0	3	7702.813912565361	5380.942506667627	False
G1_no_mechanism	33.2	3	6778.743397127434	5276.084906662811	False
G1_no_mechanism	33.4	3	3118.723170885387	6600.785920001878	False
G1_no_mechanism	33.6	3	nan	nan	False
G1_no_mechanism	33.8	3	nan	nan	False
G1_no_mechanism	34.0	3	nan	nan	False
G1_no_mechanism	34.2	3	nan	nan	False
G1_no_mechanism	34.4	3	nan	nan	False
G1_no_mechanism	34.6	3	nan	nan	False
G1_no_mechanism	34.8	3	nan	nan	False
G1_no_mechanism	35.0	3	nan	nan	False
G2_malicious_monitor_off	0.0	3	nan	nan	False
G2_malicious_monitor_off	0.2	3	nan	nan	False
G2_malicious_monitor_off	0.4	3	nan	nan	False
G2_malicious_monitor_off	0.6	3	nan	nan	False
G2_malicious_monitor_off	0.8	3	nan	nan	False
G2_malicious_monitor_off	1.0	3	nan	nan	False
G2_malicious_monitor_off	1.2	3	nan	nan	False
G2_malicious_monitor_off	1.4	3	nan	nan	False
G2_malicious_monitor_off	1.6	3	nan	nan	False
G2_malicious_monitor_off	1.8	3	nan	nan	False
G2_malicious_monitor_off	2.0	3	nan	nan	False
G2_malicious_monitor_off	2.2	3	nan	4956.382707611876	False
G2_malicious_monitor_off	2.4	3	nan	5365.213866671546	False
G2_malicious_monitor_off	2.6	3	nan	4737.815893330736	False
G2_malicious_monitor_off	2.8	3	nan	5595.90058666829	False
G2_malicious_monitor_off	3.0	3	nan	4945.783466667588	False
G2_malicious_monitor_off	3.2	3	nan	11518.607359993694	False
G2_malicious_monitor_off	3.4	3	nan	13288.95317334542	False
G2_malicious_monitor_off	3.6	3	425.5299800029147	13254.000639992008	False
G2_malicious_monitor_off	3.8	3	1375.8380182295966	11354.330453334262	False
G2_malicious_monitor_off	4.0	3	386.3325557451449	11997.45706666844	False
G2_malicious_monitor_off	4.2	3	456.6064848300539	13481.192106658571	False
G2_malicious_monitor_off	4.4	3	1675.4771972949668	11499.383466677124	False
G2_malicious_monitor_off	4.6	3	1381.44575990613	12231.639039993459	False
G2_malicious_monitor_off	4.8	3	393.6456238502315	13495.173120002104	False
G2_malicious_monitor_off	5.0	3	487.95199040512307	13486.434986669039	False
G2_malicious_monitor_off	5.2	3	475.5775287655803	12988.361386658798	False
G2_malicious_monitor_off	5.4	3	186.99145125227483	13661.197653345758	False
G2_malicious_monitor_off	5.6	3	261.79556029876625	13561.582933324957	False
G2_malicious_monitor_off	5.8	3	534.8625089153703	13189.338453334982	False
G2_malicious_monitor_off	6.0	3	313.2468188740812	13614.011733335416	False
G2_malicious_monitor_off	6.2	3	463.8981235647353	13486.43498665865	False
G2_malicious_monitor_off	6.4	3	440.89097763630247	13456.725333345574	False
G2_malicious_monitor_off	6.6	3	524.1947578932751	13435.753813325478	False
G2_malicious_monitor_off	6.8	3	257.22752524842736	13608.76885333588	False
G2_malicious_monitor_off	7.0	3	465.62164523714887	13603.525973335143	False
G2_malicious_monitor_off	7.2	3	479.37290487525985	13318.662826658629	False
G2_malicious_monitor_off	7.4	3	1364.2995173959866	12839.813120011677	False
G2_malicious_monitor_off	7.6	3	956.5017826177364	12635.340799993277	False
G2_malicious_monitor_off	7.8	3	253.59429653471707	13507.406506668814	False
G2_malicious_monitor_off	8.0	3	372.9106423411745	13383.325013335614	False
G2_malicious_monitor_off	8.2	3	279.972470749361	13435.753813325258	False
G2_malicious_monitor_off	8.4	3	349.52607616334853	13704.888320012464	False
G2_malicious_monitor_off	8.6	3	329.216940682813	13589.544959991792	False
G2_malicious_monitor_off	8.8	3	636.7186102651386	13554.592426668694	False
G2_malicious_monitor_off	9.0	3	739.8823923482913	12703.498240001778	False
G2_malicious_monitor_off	9.2	3	242.91045666896682	13558.08767999179	False
G2_malicious_monitor_off	9.4	3	274.233490128559	13456.725333345572	False
G2_malicious_monitor_off	9.6	3	501.86640239957273	13241.767253325606	False
G2_malicious_monitor_off	9.8	3	622.1200786806048	13558.087680001956	False
G2_malicious_monitor_off	10.0	3	1311.2882519478514	12572.426240001621	False
G2_malicious_monitor_off	10.2	3	761.7609698172533	12928.942079991102	False
G2_malicious_monitor_off	10.4	3	975.25362765998	12804.860586678313	False
G2_malicious_monitor_off	10.6	3	645.8036393027734	13355.362986658782	False
G2_malicious_monitor_off	10.8	3	322.74321350806844	13645.46901333528	False
G2_malicious_monitor_off	11.0	3	336.4066276492276	13624.497493335317	False
G2_malicious_monitor_off	11.2	3	264.9089809654516	13559.835306658488	False
G2_malicious_monitor_off	11.4	3	254.2641560103842	13572.068693345676	False
G2_malicious_monitor_off	11.6	3	867.0074520526597	12927.194453325994	False
G2_malicious_monitor_off	11.8	3	397.3882478388862	13498.668373335355	False
G2_malicious_monitor_off	12.0	3	261.6784584443271	13430.510933335352	False
G2_malicious_monitor_off	12.2	3	419.8956369724137	13648.96426665861	False
G2_malicious_monitor_off	12.4	3	439.517760345992	13507.40650667895	False
G2_malicious_monitor_off	12.6	3	753.244381646408	12997.099519992693	False
G2_malicious_monitor_off	12.8	3	261.9551561588875	13739.840853335418	False
G2_malicious_monitor_off	13.0	3	200.89740210232682	13683.916800002014	False
G2_malicious_monitor_off	13.2	3	1204.8553419251655	13682.16917332507	False
G2_malicious_monitor_off	13.4	3	854.8071644525899	12430.868480011306	False
G2_malicious_monitor_off	13.6	3	233.47306439464776	12913.213439992673	False
G2_malicious_monitor_off	13.8	3	215.28176031324145	13745.08373333539	False
G2_malicious_monitor_off	14.0	3	296.0966965062833	13664.692906668703	False
G2_malicious_monitor_off	14.2	3	363.14727475211345	13442.7443199918	False
G2_malicious_monitor_off	14.4	3	369.404357366469	13643.721386679075	False
G2_malicious_monitor_off	14.6	3	303.36454596601203	13680.421546658568	False
G2_malicious_monitor_off	14.8	3	237.57840499244114	13621.002240002088	False
G2_malicious_monitor_off	15.0	3	285.967931819932	13662.945280002039	False
G2_malicious_monitor_off	15.2	3	253.520022056116	13727.607466658235	False
G2_malicious_monitor_off	15.4	3	214.50927127640043	13722.364586679148	False
G2_malicious_monitor_off	15.6	3	241.85645753385515	13692.654933325059	False
G2_malicious_monitor_off	15.8	3	283.6519449868537	13816.736426668765	False
G2_malicious_monitor_off	16.0	3	483.83835131061437	13685.664426668633	False
G2_malicious_monitor_off	16.2	3	379.3902437129844	13725.859839991477	False
G2_malicious_monitor_off	16.4	3	294.8857084710614	13898.874880012641	False
G2_malicious_monitor_off	16.6	3	383.39920423358694	13657.702399991807	False
G2_malicious_monitor_off	16.8	3	246.55241008892895	13818.484053335293	False
G2_malicious_monitor_off	17.0	3	446.0719438890463	13732.850346668556	False
G2_malicious_monitor_off	17.2	3	193.40992757563166	13801.007786658245	False
G2_malicious_monitor_off	17.4	3	269.7830656266788	13725.859840012483	False
G2_malicious_monitor_off	17.6	3	653.4507469653572	13103.704746659423	False
G2_malicious_monitor_off	17.8	3	210.2578539515316	13935.575040002199	False
G2_malicious_monitor_off	18.0	3	231.55068854401384	13773.045760001978	False
G2_malicious_monitor_off	18.2	3	322.2260169253296	13753.821866658318	False
G2_malicious_monitor_off	18.4	3	893.4886860980023	12921.951573345088	False
G2_malicious_monitor_off	18.6	3	288.38609498004615	13759.064746658449	False
G2_malicious_monitor_off	18.8	3	196.07219238829313	13841.203200002166	False
G2_malicious_monitor_off	19.0	3	181.3966317516728	13939.070293335462	False
G2_malicious_monitor_off	19.2	3	989.037900445001	12962.146986657435	False
G2_malicious_monitor_off	19.4	3	629.9202056977173	13813.241173345896	False
G2_malicious_monitor_off	19.6	3	936.4865355966391	12574.173866658113	False
G2_malicious_monitor_off	19.8	3	345.5901344949695	13495.173120002271	False
G2_malicious_monitor_off	20.0	3	234.99393147308072	13734.597973335323	False
G2_malicious_monitor_off	20.2	3	281.7608711563118	13699.645439991544	False
G2_malicious_monitor_off	20.4	3	550.4182229207208	13458.47296001224	False
G2_malicious_monitor_off	20.6	3	636.5509742624132	13316.915199992085	False
G2_malicious_monitor_off	20.8	3	685.2123760127314	13318.662826668195	False
G2_malicious_monitor_off	21.0	3	208.62279401044987	13755.569493335346	False
G2_malicious_monitor_off	21.2	3	133.60111965808068	13972.27519999147	False
G2_malicious_monitor_off	21.4	3	240.16805721264254	13696.150186679122	False
G2_malicious_monitor_off	21.6	3	285.38601490482347	13827.222186658153	False
G2_malicious_monitor_off	21.8	3	160.27531491068913	13689.159680002156	False
G2_malicious_monitor_off	22.0	3	277.346985958659	13603.525973335456	False
G2_malicious_monitor_off	22.2	3	426.25470878962943	13292.448426658806	False
G2_malicious_monitor_off	22.4	3	398.4703786244316	13650.711893345748	False
G2_malicious_monitor_off	22.6	3	249.97379240594805	13626.245119991703	False
G2_malicious_monitor_off	22.8	3	631.8658491642612	13330.896213335074	False
G2_malicious_monitor_off	23.0	3	249.55619230618018	13563.330560002258	False
G2_malicious_monitor_off	23.2	3	653.0417797193794	13217.30047999115	False
G2_malicious_monitor_off	23.4	3	151.04712771871368	13725.859840012485	False
G2_malicious_monitor_off	23.6	3	301.10969277243123	13523.135146658557	False
G2_malicious_monitor_off	23.8	3	404.17045781465237	13530.125653335332	False
G2_malicious_monitor_off	24.0	3	514.5400460740933	13461.96821333519	False
G2_malicious_monitor_off	24.2	3	433.773263654614	13575.563946658587	False
G2_malicious_monitor_off	24.4	3	244.78402454374137	13561.58293334567	False
G2_malicious_monitor_off	24.6	3	224.0564780799963	13794.017279991609	False
G2_malicious_monitor_off	24.8	3	334.15399031450494	13837.707946668748	False
G2_malicious_monitor_off	25.0	3	961.1886104181107	13009.332906668365	False
G2_malicious_monitor_off	25.2	3	646.640039578991	13131.666773325813	False
G2_malicious_monitor_off	25.4	3	330.29886970676995	13563.330560012335	False
G2_malicious_monitor_off	25.6	3	290.61963065191156	13809.745919991658	False
G2_malicious_monitor_off	25.8	3	295.71150195410786	13832.465066668832	False
G2_malicious_monitor_off	26.0	3	424.3726925716656	13673.431040001999	False
G2_malicious_monitor_off	26.2	3	508.91787116452537	13739.840853324975	False
G2_malicious_monitor_off	26.4	3	372.622422316746	13423.520426678877	False
G2_malicious_monitor_off	26.6	3	311.1508861157004	13734.597973324891	False
G2_malicious_monitor_off	26.8	3	219.49310236198085	13755.569493335393	False
G2_malicious_monitor_off	27.0	3	285.5413330202739	13605.273600001981	False
G2_malicious_monitor_off	27.2	3	376.39787641567864	13544.106666658365	False
G2_malicious_monitor_off	27.4	3	351.83737698842833	13538.86378667898	False
G2_malicious_monitor_off	27.6	3	417.10110478098613	13512.649386658546	False
G2_malicious_monitor_off	27.8	3	628.7085255918267	13325.653333335033	False
G2_malicious_monitor_off	28.0	3	200.84672086441014	13591.29258666871	False
G2_malicious_monitor_off	28.2	3	384.3182312880681	13736.345599991606	False
G2_malicious_monitor_off	28.4	3	553.3721876478431	13524.882773345635	False
G2_malicious_monitor_off	28.6	3	540.6922421058406	13591.292586658752	False
G2_malicious_monitor_off	28.8	3	929.2134879243384	12930.689706667885	False
G2_malicious_monitor_off	29.0	3	331.74604382224624	13842.95082666871	False
G2_malicious_monitor_off	29.2	3	373.73029839575014	13544.106666658707	False
G2_malicious_monitor_off	29.4	3	293.19121825752296	13806.250666679223	False
G2_malicious_monitor_off	29.6	3	445.48668472773426	13762.559999991741	False
G2_malicious_monitor_off	29.8	3	327.74324323806877	13664.692906668533	False
G2_malicious_monitor_off	30.0	3	368.8961451285461	13801.00778666869	False
G2_malicious_monitor_off	30.2	3	342.8175124325982	13629.740373325078	False
G2_malicious_monitor_off	30.4	3	204.71702598950932	13797.51253334588	False
G2_malicious_monitor_off	30.6	3	314.1831347418793	13715.37407999168	False
G2_malicious_monitor_off	30.8	3	277.78090474134	13844.698453335483	False
G2_malicious_monitor_off	31.0	3	572.2876281393302	13240.019626669426	False
G2_malicious_monitor_off	31.2	3	327.47591442365416	13891.88437332488	False
G2_malicious_monitor_off	31.4	3	287.3933987629998	13587.79733334569	False
G2_malicious_monitor_off	31.6	3	357.6741562620068	13818.484053324988	False
G2_malicious_monitor_off	31.8	3	563.4396693270221	13750.326613335283	False
G2_malicious_monitor_off	32.0	3	176.98147655432783	13440.996693335723	False
G2_malicious_monitor_off	32.2	3	441.26530729415873	13545.854293325176	False
G2_malicious_monitor_off	32.4	3	1172.5356968417757	13584.302080012356	False
G2_malicious_monitor_off	32.6	3	214.99038319199732	12705.245866659543	False
G2_malicious_monitor_off	32.8	3	160.8369556971397	13869.165226668585	False
G2_malicious_monitor_off	33.0	3	223.5662852474486	13725.859840002033	False
G2_malicious_monitor_off	33.2	3	296.8962854359251	13895.379626658201	False
G2_malicious_monitor_off	33.4	3	nan	13820.23168001257	False
G2_malicious_monitor_off	33.6	3	nan	8068.792319995863	False
G2_malicious_monitor_off	33.8	3	nan	nan	False
G2_malicious_monitor_off	34.0	3	nan	nan	False
G2_malicious_monitor_off	34.2	3	nan	nan	False
G2_malicious_monitor_off	34.4	3	nan	nan	False
G2_malicious_monitor_off	34.6	3	nan	nan	False
G2_malicious_monitor_off	34.8	3	nan	nan	False
G2_malicious_monitor_off	35.0	3	nan	nan	False
G3_malicious_monitor_on	0.0	3	nan	nan	False
G3_malicious_monitor_on	0.2	3	nan	nan	False
G3_malicious_monitor_on	0.4	3	nan	nan	False
G3_malicious_monitor_on	0.6	3	nan	nan	False
G3_malicious_monitor_on	0.8	3	nan	nan	False
G3_malicious_monitor_on	1.0	3	nan	nan	False
G3_malicious_monitor_on	1.2	3	nan	nan	False
G3_malicious_monitor_on	1.4	3	nan	nan	False
G3_malicious_monitor_on	1.6	3	nan	nan	False
G3_malicious_monitor_on	1.8	3	nan	nan	False
G3_malicious_monitor_on	2.0	3	nan	nan	False
G3_malicious_monitor_on	2.2	3	nan	7669.450583583272	False
G3_malicious_monitor_on	2.4	3	nan	5726.972586658853	False
G3_malicious_monitor_on	2.6	3	nan	5643.086506671799	False
G3_malicious_monitor_on	2.8	3	nan	5999.602346667291	False
G3_malicious_monitor_on	3.0	3	nan	5658.815146663114	False
G3_malicious_monitor_on	3.2	3	nan	12301.544106677853	False
G3_malicious_monitor_on	3.4	3	nan	12935.932586649018	False
G3_malicious_monitor_on	3.6	3	419.203913077192	13005.837653345161	False
G3_malicious_monitor_on	3.8	3	609.8676851195197	11759.779840002315	False
G3_malicious_monitor_on	4.0	3	852.9059279501143	12591.650133325673	False
G3_malicious_monitor_on	4.2	3	2060.5125964752624	11197.044053343518	False
G3_malicious_monitor_on	4.4	3	3814.4454906630476	8385.112746655226	False
G3_malicious_monitor_on	4.6	3	5963.949563825648	6988.759040006356	False
G3_malicious_monitor_on	4.8	3	7583.476127238984	5725.224960001654	False
G3_malicious_monitor_on	5.0	3	7240.632402872344	5823.0920533300305	False
G3_malicious_monitor_on	5.2	3	7229.442860524871	5361.718613338209	False
G3_malicious_monitor_on	5.4	3	7753.36385947729	5193.946453326247	False
G3_malicious_monitor_on	5.6	3	7294.75756853027	5525.995520005025	False
G3_malicious_monitor_on	5.8	3	8150.196321011329	5314.532693333263	False
G3_malicious_monitor_on	6.0	3	7877.395421106859	4563.053226664439	False
G3_malicious_monitor_on	6.2	3	7729.0174774414145	5810.858666671952	False
G3_malicious_monitor_on	6.4	3	7575.3780684626245	5305.794559992762	False
G3_malicious_monitor_on	6.6	3	7369.149018891293	5524.247893338357	False
G3_malicious_monitor_on	6.8	3	7307.052095116873	5926.20202666728	False
G3_malicious_monitor_on	7.0	3	6987.570494515505	6050.283519996658	False
G3_malicious_monitor_on	7.2	3	7470.041543907851	5515.509760005017	False
G3_malicious_monitor_on	7.4	3	8030.383973659339	5122.293759993012	False
G3_malicious_monitor_on	7.6	3	7686.240438565546	5344.242346671527	False
G3_malicious_monitor_on	7.8	3	6998.458814508204	5884.25898666756	False
G3_malicious_monitor_on	8.0	3	7558.743922539073	4996.464639996728	False
G3_malicious_monitor_on	8.2	3	8249.494260658992	4886.364160004444	False
G3_malicious_monitor_on	8.4	3	7435.977425921167	6018.8262399917885	False
G3_malicious_monitor_on	8.6	3	6957.395734624566	6228.541440005664	False
G3_malicious_monitor_on	8.8	3	7468.57804334188	5480.557226667188	False
G3_malicious_monitor_on	9.0	3	7830.743287378508	5452.595199996825	False
G3_malicious_monitor_on	9.2	3	7218.82588062077	6228.541440005664	False
G3_malicious_monitor_on	9.4	3	8268.082916184301	5643.086506658969	False
